m,n,o,num_images,chi2,source_x,source_y,pos_rms,mag_rms,avg_mag_per,pos_A,mag_A,mag_err_A,mag_per_A,pos_B,mag_B,mag_err_B,mag_per_B,pos_C,mag_C,mag_err_C,mag_per_C,pos_D,mag_D,mag_err_D,mag_per_D,"POW_$z_{s,fid}$",POW_x,POW_y,POW_e,POW_$θ_{e}$,POW_$r_{Ein}$,POW_$\gamma$ (PWI)
1.5,0.0,0.0,1,345.7298,0.09197485,0.03665278,0.6598497518374922,384023.3432171955,7420652.081830666,0.32065871265256457,-384031.6882,-384042.4542,3566978.6568827787,0.7612639226969842,-384031.6882,-384033.7482,18642214.96116505,0.8318159952778018,-384031.6882,-384041.9642,3737070.9634098867,0.6060892343541502,-384031.6882,-384041.96619999997,3736343.745864954,1.0,0.09197702,0.03665219,1.061013e-05,-24.99459,0.4806843,1.500348
1.5,0.00909,0.0,4,3.133036,0.1006584,0.0379527,0.002372235232855293,44.691368320907344,487.6109435797993,0.00044721359549995833,-49.5467,-60.3127,360.21456436931084,0.004701063709417266,13.6672,11.607199999999999,563.4563106796116,0.00044721359549995833,-43.2547,-53.530699999999996,320.9293499416116,9.99999999999994e-05,82.8246,72.5466,705.8435493286631,1.0,0.1254447,0.03769373,0.08628249,-1.421245,0.4786936,1.628636
1.5,0.01818,0.0,0,345.7874,0.09212707,0.03664261,,,,,,,,,,,,,,,,,,,,1.0,0.09212692,0.03664234,3.854158e-06,-48.99517,0.480541,1.502492
1.5,0.02727,0.0,4,3.387638,0.07220886,0.03825521,0.0024708298201211684,3.3243041324463682,33.370996697567364,0.00044721359549995833,-8.3046,-19.0706,22.86271595764443,0.004900000000000002,2.6543,0.5943,28.849514563106798,0.00044721359549995833,-7.1875,-17.4635,30.055469054106652,9.99999999999994e-05,15.5934,5.3154,51.71628721541156,1.0,0.1551917,0.03725989,0.3538066,-1.35805,0.4815651,2.196795
1.5,0.03636,0.0,0,345.788,0.09199159,0.03668237,,,,,,,,,,,,,,,,,,,,1.0,0.09199173,0.03668195,5.87763e-06,-43.30736,0.480687,1.500038
1.5,0.04545,0.0,0,345.8462,0.09194866,0.03665856,,,,,,,,,,,,,,,,,,,,1.0,0.09194867,0.03665855,1.491861e-08,-89.44335,0.4808037,1.500088
1.5,0.05455,0.0,4,3.130619,0.1012212,0.03794079,0.002372235232855293,49.022473156323926,534.9380060059518,0.00044721359549995833,-53.6318,-64.3978,398.15901913431173,0.004701063709417266,14.7276,12.6676,614.9320388349514,0.00044721359549995833,-46.8282,-57.104200000000006,355.70455430128453,9.99999999999994e-05,89.5169,79.2389,770.9564117532593,1.0,0.124878,0.037694,0.08184018,-1.421543,0.4786666,1.608782
1.5,0.06364,0.0,4,3.161132,0.09518747,0.03800487,0.0024212600025606498,20.89972845786519,226.25654071846935,0.00044721359549995833,-27.0404,-37.806400000000004,151.16477800483003,0.004799999999999999,7.7732,5.7132000000000005,277.3398058252427,0.00044721359549995833,-23.5726,-33.848600000000005,129.39470611132737,9.99999999999994e-05,45.9557,35.6777,347.12687293247717,1.0,0.1310129,0.03762412,0.1318074,-1.415264,0.4790073,1.795518
1.5,0.07273,0.0,4,3.12392,0.1029862,0.03792369,0.0023685438564654024,67.41285800917359,735.5250153006564,0.0003605551275463592,-70.9694,-81.7354,559.1993312279398,0.004701063709417266,19.2075,17.1475,832.4029126213592,0.00044721359549995833,-61.9934,-72.2694,503.28337874659394,9.99999999999994e-05,117.9107,107.6327,1047.2144386067328,1.0,0.1230887,0.03771467,0.06815236,-1.423191,0.4785883,1.542494
1.5,0.08182,0.0,1,345.7534,0.09196245,0.03662514,0.6774506513392691,1187804.4815055593,22952340.582154654,0.3827536544567537,-1187812.8265,-1187823.5925,11032900.431915289,0.7159342777099026,-1187812.8265,-1187814.8865,57660716.82038835,0.862681401213681,-1187812.8265,-1187823.1025,11558997.182755934,0.65762914321067,-1187812.8265,-1187823.1045,11556747.893559057,1.0,0.09196462,0.03662441,1.217157e-05,-207.9606,0.4806471,1.500073
1.5,0.09091,0.0,4,3.25573,0.08341048,0.03813482,0.0024212600025606498,6.165750120423305,56.974145468943675,0.00044721359549995833,-12.5545,-23.320500000000003,16.612483745123548,0.004799999999999999,3.8712,1.8112,87.92233009708738,0.00044721359549995833,-10.9055,-21.1815,6.125924484235112,9.99999999999994e-05,22.3275,12.0495,117.23584354932865,1.0,0.1432823,0.0374639,0.2412712,-1.392252,0.4800004,2.043657
1.5,0.1,0.0,4,3.151196,0.09692383,0.03798166,0.002417643480747314,26.055083167541415,283.2212723466322,0.0003605551275463592,-31.9357,-42.7017,196.63477614712986,0.004799999999999999,9.0653,7.0053,340.0631067961165,0.00044721359549995833,-27.8535,-38.1295,171.0539120280265,9.99999999999994e-05,53.9732,43.6952,425.1332944152558,1.0,0.129226,0.03764111,0.1168798,-1.416176,0.4789061,1.747017
1.5,0.10909,0.0,4,3.126948,0.1021595,0.03793269,0.002372235232855293,57.62090239212243,628.7973583622505,0.00044721359549995833,-61.7394,-72.50540000000001,473.46646851198216,0.004701063709417266,16.8272,14.7672,716.8543689320389,0.00044721359549995833,-53.9197,-64.1957,424.7148695990657,9.99999999999994e-05,102.7958,92.5178,900.1537264059154,1.0,0.1239513,0.03770575,0.07460065,-1.422619,0.4786233,1.574613
1.5,0.11818,0.0,4,3.130257,0.1013305,0.03794157,0.002372235232855293,49.80174831331225,543.462895977534,0.00044721359549995833,-54.367,-65.133,404.98792494891325,0.004701063709417266,14.9193,12.8593,624.2378640776699,0.00044721359549995833,-47.471,-57.747,361.95990657843515,9.99999999999994e-05,90.7204,80.44239999999999,782.6658883051176,1.0,0.1248005,0.03769691,0.08110927,-1.421465,0.4786569,1.605322
1.5,0.12727,0.0,4,3.211319,0.08824582,0.03807736,0.0024212600025606498,9.69942988595206,99.97678582665183,0.00044721359549995833,-16.2217,-26.987699999999997,50.67527401077465,0.004799999999999999,4.878,2.818,136.79611650485438,0.00044721359549995833,-14.1124,-24.388399999999997,37.33359283768002,9.99999999999994e-05,28.275,17.997,175.1021599532983,1.0,0.1382494,0.03753129,0.1949932,-1.402509,0.4795145,1.956257
1.5,0.13636,0.0,4,3.217246,0.08754642,0.03808528,0.0024212600025606498,9.063245321351507,92.50296885229127,0.00044721359549995833,-15.5838,-26.349800000000002,44.75013932751254,0.004799999999999999,4.704,2.6439999999999997,128.34951456310677,0.00044721359549995833,-13.5547,-23.8307,31.906383806928773,9.99999999999994e-05,27.2373,16.9593,165.00583771161703,1.0,0.1389446,0.03752131,0.2014355,-1.401847,0.4795884,1.969724
1.5,0.14545,0.0,0,345.8651,0.09171995,0.03667098,,,,,,,,,,,,,,,,,,,,1.0,0.09171989,0.03667098,1.934384e-07,102.4987,0.4809145,1.50144
1.5,0.15455,0.0,0,345.8348,0.09181507,0.03672345,,,,,,,,,,,,,,,,,,,,1.0,0.09181507,0.03672342,4.597994e-07,135.0708,0.4808131,1.501764
1.5,0.16364,0.0,5,3.121703,0.1036482,0.037915,0.0023685438564654024,77.17454313745563,841.8284846941161,0.0003605551275463592,-80.1692,-90.93520000000001,644.6516812186512,0.004701063709417266,21.5743,19.514300000000002,947.2961165048546,0.00044721359549995833,-70.0411,-80.3171,581.598871156092,9.99999999999994e-05,132.9734,122.69539999999999,1193.7672698968668,1.0,0.1223982,0.03772035,0.06305687,-1.423426,0.4785736,1.515379
1.5,0.17273,0.0,1,345.7667,0.0922061,0.036698,0.7086058530664279,398778.79311655916,7705775.78106756,0.49205294430579316,-398787.1381,-398797.9041,3704034.66561397,0.623088573157942,-398787.1381,-398789.1981,19358498.936893202,0.9081659429861924,-398787.1381,-398797.4141,3880662.3404048267,0.7438872024709122,-398787.1381,-398797.4161,3879907.1813582405,1.0,0.09220696,0.03669753,6.931435e-06,-33.94782,0.4805298,1.502391
1.5,0.18182,0.0,0,345.7889,0.09204675,0.03661995,,,,,,,,,,,,,,,,,,,,1.0,0.09204663,0.03661989,8.505161e-07,-59.44424,0.4806552,1.500974
1.5,0.19091,0.0,0,345.8041,0.09201137,0.0365668,,,,,,,,,,,,,,,,,,,,1.0,0.09201136,0.03656679,3.729587e-08,-63.31652,0.4806461,1.50323
